NNID,1,2,3,4
NET NAME,Automatic Speech Recognition,GoogLeNet,Machine Translation,GoogLeNet
ISOLATED,13440293,813951,9911366,813951
PRIORITY,0,1,1,2
DISPATCHED,0,549357,1933034,1957653
ESTIMATED,1,291425,1,291425
RUNNED,13440636,814017,9911316,813746
WAITED,11539079,1,1,9886698
ELAPSED,24979715,814018,9911317,10700444
SWITCHED,3,1,1,1
SLA,True,True,True,False
PREMA,DYNAMIC
ANTT,4.251236640343059,STP,2.6140379589552674,FAIRNESS,6.0928835165606347e-05
