NNID,1
NET NAME,AlexNet
ISOLATED,1697722
PRIORITY,0
DISPATCHED,0
ESTIMATED,307188
RUNNED,1697722
WAITED,0
ELAPSED,1697722
SWITCHED,1
SLA,True
FCFS,STATIC
ANTT,1.0,STP,1.0,FAIRNESS,1.0
