NNID,1,2,3,4
NET NAME,AlexNet,VGG16,GoogLeNet,Sentiment Analysis
ISOLATED,1697722,6150050,813951,4469462
PRIORITY,0,0,1,1
DISPATCHED,0,710100,1114841,608722
ESTIMATED,307188,3555583,291425,1
RUNNED,1697308,6149844,814372,4469430
WAITED,5283802,6271011,1,814373
ELAPSED,6981110,12420855,814373,5283803
SWITCHED,2,1,1,2
SLA,False,True,True,True
HPF,DYNAMIC
ANTT,2.0785999543571596,STP,2.5836885640105507,FAIRNESS,0.49115089598148043
