NNID,1,2,3,4
NET NAME,AlexNet,AlexNet,VGG16,Machine Translation
ISOLATED,1697722,1697722,6150050,9911366
PRIORITY,1,0,1,0
DISPATCHED,0,1979855,1115718,1565725
ESTIMATED,307188,307188,3555583,1
RUNNED,1697722,1697516,6149846,9911160
WAITED,0,5867714,582005,7979360
ELAPSED,1697722,7565230,6731851,17890520
SWITCHED,1,1,1,1
SLA,True,False,True,True
HPF,DYNAMIC
ANTT,2.088939596085381,STP,2.6919870408951136,FAIRNESS,0.40507355410831525
