NNID,1,2,3,4
NET NAME,MobileNet,GoogLeNet,Machine Translation,MobileNet
ISOLATED,1867013,813951,9911366,1867013
PRIORITY,0,2,1,0
DISPATCHED,0,952937,221361,480964
ESTIMATED,1419697,291425,1,1419697
RUNNED,1866938,814258,9911109,1866806
WAITED,10725367,9179534,1,12111342
ELAPSED,12592305,9993792,9911110,13978148
SWITCHED,2,1,1,1
SLA,False,False,True,False
SJF,DYNAMIC
ANTT,6.877407453526057,STP,1.3633042239945155,FAIRNESS,0.02714785260405798
