NNID,1,2,3,4
NET NAME,GoogLeNet,AlexNet,MobileNet,GoogLeNet
ISOLATED,813951,1697722,1867013,813951
PRIORITY,2,0,2,1
DISPATCHED,0,610322,1576028,1640500
ESTIMATED,291425,307188,1419697,291425
RUNNED,814464,1696984,1866809,814536
WAITED,0,1018679,1749957,1
ELAPSED,814464,2715663,3616766,814537
SWITCHED,1,2,1,1
SLA,True,True,True,True
SJF,DYNAMIC
ANTT,1.3845340692399324,STP,3.1400206327947338,FAIRNESS,0.09174739029275879
